S,L,sharpe,ann_return,max_drawdown,total_pnl,hit_rate
1,68,0.2826,498.5282,-4713.94,9375.1,0.5031
9,25,0.2822,497.7784,-4472.24,9361.0,0.5039
12,19,0.2811,495.9045,-4981.15,9325.76,0.5024
9,17,0.2811,495.8981,-4525.5,9325.64,0.4991
11,77,0.2809,495.5759,-4722.92,9319.58,0.5018
1,58,0.2808,495.4259,-4478.0,9316.76,0.4995
8,26,0.2807,495.2079,-4494.0,9312.66,0.5035
3,32,0.2805,494.8974,-5561.25,9306.82,0.5003
6,28,0.2805,494.774,-5239.5,9304.5,0.5031
12,14,0.2794,492.849,-4697.0,9268.3,0.4982
12,71,0.2794,492.915,-5082.92,9269.54,0.502
2,49,0.2788,491.8834,-6147.01,9250.14,0.5022
6,23,0.2787,491.693,-4913.25,9246.56,0.5003
3,33,0.2785,491.3335,-5609.25,9239.8,0.5018
8,19,0.2784,491.0464,-4477.01,9234.4,0.5001
2,58,0.2781,490.6518,-5993.76,9226.98,0.5028
1,57,0.2775,489.4703,-4548.25,9204.76,0.4991
10,15,0.2773,489.2288,-4917.0,9200.22,0.4978
10,25,0.2764,487.6144,-4805.5,9169.86,0.5043
11,81,0.276,486.8551,-4970.44,9155.58,0.5012
10,85,0.2759,486.7328,-5659.72,9153.28,0.5009
7,28,0.2754,485.9043,-5359.5,9137.7,0.5037
1,73,0.2753,485.6437,-5008.94,9132.8,0.5028
9,83,0.2747,484.6578,-5476.72,9114.26,0.502
7,27,0.2743,483.9059,-4866.0,9100.12,0.5026
10,86,0.2742,483.7826,-5549.7,9097.8,0.5016
1,56,0.2739,483.137,-4800.75,9085.66,0.4993
8,27,0.2737,482.7488,-4730.5,9078.36,0.5041
3,34,0.2729,481.412,-5891.3,9053.22,0.5018
1,67,0.2727,481.0334,-4709.44,9046.1,0.5024
10,82,0.272,479.7635,-5558.58,9022.22,0.5014
12,79,0.2719,479.5998,-4720.2,9019.14,0.5024
3,35,0.2716,479.0531,-5969.16,9008.86,0.5026
12,13,0.2712,478.4065,-4905.69,8996.7,0.4978
11,14,0.2712,478.4597,-4905.69,8997.7,0.4974
10,84,0.2711,478.2055,-5450.88,8992.92,0.5012
12,80,0.271,478.0843,-4720.2,8990.64,0.5024
12,30,0.2708,477.7673,-5856.27,8984.68,0.5052
12,78,0.2706,477.4461,-4771.2,8978.64,0.5024
14,27,0.2703,476.7931,-4614.09,8966.36,0.5033
4,94,0.2696,475.6786,-7571.58,8945.4,0.5024
8,18,0.2692,474.8076,-5204.0,8929.02,0.4993
5,29,0.2689,474.4523,-5422.28,8922.34,0.5022
4,28,0.2689,474.4215,-5843.25,8921.76,0.5003
1,33,0.2688,474.1758,-5007.81,8917.14,0.4984
7,91,0.2688,474.1216,-6941.86,8916.12,0.5016
5,24,0.2684,473.5601,-4778.5,8905.56,0.5003
1,44,0.268,472.7422,-6203.27,8890.18,0.4982
1,65,0.2678,472.4827,-4546.74,8885.3,0.5024
6,21,0.2676,472.1445,-4572.25,8878.94,0.4993
9,86,0.2675,471.9116,-6086.92,8874.56,0.5003
11,85,0.2674,471.7808,-4688.86,8872.1,0.502
15,19,0.2657,468.7562,-4559.69,8815.22,0.5041
4,25,0.2654,468.1904,-5610.44,8804.58,0.4993
11,32,0.2651,467.6001,-5597.47,8793.48,0.5047
9,85,0.2646,466.7961,-5672.12,8778.36,0.5007
11,13,0.2646,466.7589,-4766.48,8777.66,0.4967
3,100,0.2643,466.3175,-6434.12,8769.36,0.5031
6,36,0.2641,465.8634,-4441.8,8760.82,0.5028
3,31,0.264,465.7698,-6275.29,8759.06,0.4995
4,26,0.2638,465.421,-6055.75,8752.5,0.4991
10,77,0.2636,465.0913,-5037.0,8746.3,0.5014
13,33,0.263,463.9374,-4542.51,8724.6,0.5018
10,79,0.2629,463.8427,-4930.48,8722.82,0.5012
10,16,0.2628,463.5619,-4748.5,8717.54,0.498
12,20,0.2625,463.1057,-4767.95,8708.96,0.5026
16,17,0.2625,463.0504,-5385.89,8707.92,0.5035
1,64,0.2624,462.926,-4546.74,8705.58,0.502
10,87,0.2622,462.5325,-5011.32,8698.18,0.5016
11,86,0.2621,462.4484,-4688.86,8696.6,0.5018
15,18,0.262,462.1464,-5385.89,8690.92,0.5033
12,31,0.2615,461.2913,-5285.11,8674.84,0.5047
3,98,0.261,460.4937,-6448.64,8659.84,0.5031
12,23,0.2604,459.4281,-4957.62,8639.8,0.5039
9,84,0.2603,459.2664,-5476.72,8636.76,0.5014
4,95,0.2601,458.808,-7024.84,8628.14,0.5022
4,31,0.26,458.6006,-5642.48,8624.24,0.5016
12,77,0.2597,458.0902,-5114.2,8614.64,0.5014
1,32,0.2595,457.8264,-5676.92,8609.68,0.498
10,33,0.2592,457.301,-4874.06,8599.8,0.5045
10,14,0.2591,457.1032,-5052.5,8596.08,0.4965
9,26,0.2589,456.8022,-4694.34,8590.42,0.5031
11,15,0.2583,455.6781,-4868.5,8569.28,0.4978
3,99,0.2582,455.4952,-6448.64,8565.84,0.5026
13,29,0.2581,455.3537,-5856.27,8563.18,0.5045
3,27,0.2578,454.8741,-6655.69,8554.16,0.4997
3,48,0.2577,454.6401,-5940.54,8549.76,0.5037
2,59,0.2577,454.5625,-5727.74,8548.3,0.5026
4,115,0.2573,453.9478,-7328.64,8536.74,0.5035
12,76,0.2571,453.5053,-5181.35,8528.42,0.5007
11,84,0.2565,452.4333,-4997.2,8508.26,0.5014
2,37,0.2564,452.31,-5696.41,8505.94,0.4988
3,28,0.2563,452.0951,-6649.95,8501.9,0.4995
13,31,0.2563,452.0781,-4507.53,8501.58,0.5035
1,55,0.2559,451.3858,-5003.25,8488.56,0.4993
1,47,0.2559,451.3698,-6949.69,8488.26,0.4984
13,78,0.2559,451.4198,-5498.14,8489.2,0.5028
7,92,0.2551,449.9521,-6953.88,8461.6,0.5005
9,87,0.255,449.8894,-6282.56,8460.42,0.5003
9,33,0.2547,449.3651,-4647.55,8450.56,0.5035
7,90,0.2547,449.2353,-7144.86,8448.12,0.5007
9,89,0.2545,449.0375,-6130.58,8444.4,0.5007
5,95,0.2544,448.7908,-7745.72,8439.76,0.5001
13,79,0.2543,448.6387,-5607.44,8436.9,0.5026
6,85,0.2541,448.2133,-6052.58,8428.9,0.5009
9,88,0.2539,447.8677,-6130.58,8422.4,0.5007
17,22,0.2539,447.9846,-4198.5,8424.6,0.5022
11,24,0.2538,447.6879,-5166.4,8419.02,0.5031
1,54,0.2536,447.4508,-4934.75,8414.56,0.4993
9,34,0.2529,446.0671,-4647.55,8388.54,0.5041
6,95,0.2529,446.2298,-7067.88,8391.6,0.4999
1,74,0.2526,445.5758,-5174.44,8379.3,0.5016
7,88,0.2523,445.1748,-7916.22,8371.76,0.4997
5,30,0.252,444.6197,-5419.3,8361.32,0.5016
14,28,0.2518,444.257,-4376.45,8354.5,0.5028
12,22,0.2516,443.8401,-4951.85,8346.66,0.5028
6,86,0.2513,443.2414,-6209.08,8335.4,0.5005
4,29,0.2512,443.0701,-5844.04,8332.18,0.5007
16,23,0.251,442.7734,-4645.5,8326.6,0.5028
5,94,0.2503,441.5653,-7738.1,8303.88,0.5007
13,22,0.2502,441.4185,-4589.0,8301.12,0.5028
9,90,0.25,441.0175,-5859.9,8293.58,0.5003
7,89,0.2498,440.6613,-7996.6,8286.88,0.4999
11,82,0.2498,440.7261,-5335.94,8288.1,0.5001
6,38,0.2494,439.9317,-5399.64,8273.16,0.5033
4,99,0.2493,439.719,-7028.32,8269.16,0.5031
7,93,0.2493,439.8753,-6953.88,8272.1,0.5001
1,35,0.2492,439.6626,-5044.85,8268.1,0.4978
4,93,0.2479,437.3644,-7604.6,8224.88,0.5012
9,16,0.2479,437.2867,-5099.0,8223.42,0.4961
1,45,0.247,435.7266,-6432.87,8194.08,0.4974
4,30,0.2469,435.6351,-5812.25,8192.36,0.5009
14,21,0.2466,435.1172,-4589.0,8182.62,0.5028
13,21,0.2463,434.5843,-5051.81,8172.6,0.5033
3,101,0.2463,434.4344,-6877.7,8169.78,0.5026
9,91,0.246,434.0334,-6154.84,8162.24,0.5007
5,109,0.2459,433.7601,-7468.38,8157.1,0.5022
10,88,0.2459,433.8229,-5044.0,8158.28,0.5009
6,89,0.2458,433.6878,-7534.24,8155.74,0.4995
2,34,0.2458,433.6484,-6556.85,8155.0,0.4976
13,34,0.2456,433.3294,-4654.41,8149.0,0.5005
9,27,0.2455,433.1114,-5083.72,8144.9,0.5024
6,29,0.2455,433.0561,-5381.62,8143.86,0.5012
4,85,0.2454,432.888,-5953.28,8140.7,0.5003
12,81,0.2454,432.9901,-4968.5,8142.62,0.5009
3,49,0.2452,432.4924,-6596.54,8133.26,0.5043
5,93,0.2451,432.4445,-7752.62,8132.36,0.5003
5,91,0.245,432.1744,-7262.2,8127.28,0.5007
12,84,0.245,432.2435,-5775.26,8128.58,0.5014
13,77,0.2449,432.0043,-5211.76,8124.08,0.5026
11,83,0.2449,432.0085,-5254.8,8124.16,0.5001
2,48,0.2447,431.6799,-6840.63,8117.98,0.502
16,18,0.2442,430.811,-4623.77,8101.64,0.5035
6,90,0.244,430.3888,-7780.28,8093.7,0.4991
10,31,0.244,430.4983,-4502.89,8095.76,0.5035
8,91,0.2438,430.1825,-6793.16,8089.82,0.5007
6,92,0.2437,429.857,-7624.78,8083.7,0.4995
14,29,0.2436,429.8134,-5073.07,8082.88,0.5022
12,83,0.2434,429.3391,-5324.88,8073.96,0.5018
7,29,0.2433,429.1987,-5477.5,8071.32,0.5028
14,31,0.2433,429.1934,-4704.33,8071.22,0.5024
11,33,0.2427,428.0958,-5280.53,8050.58,0.505
13,28,0.2425,427.8331,-5629.31,8045.64,0.5037
11,87,0.2424,427.6396,-5532.96,8042.0,0.5018
2,36,0.2419,426.8196,-6270.27,8026.58,0.4984
14,20,0.2417,426.4612,-4828.07,8019.84,0.5035
10,95,0.2416,426.1581,-5237.4,8014.14,0.502
3,53,0.2415,425.9986,-6075.4,8011.14,0.5041
5,110,0.2414,425.7827,-7810.9,8007.08,0.5018
6,37,0.2413,425.6604,-5022.77,8004.78,0.5028
1,36,0.2413,425.6859,-5137.69,8005.26,0.498
13,75,0.241,425.0914,-5262.76,7994.08,0.5016
8,92,0.2407,424.6788,-6793.16,7986.32,0.5007
2,39,0.2405,424.2991,-6051.17,7979.18,0.4988
6,35,0.2405,424.3267,-4838.92,7979.7,0.5016
11,88,0.2403,423.9375,-5532.96,7972.38,0.502
10,90,0.2396,422.7038,-5626.82,7949.18,0.5012
10,78,0.2396,422.6304,-5250.0,7947.8,0.5005
7,30,0.2395,422.4422,-5639.5,7944.26,0.5028
3,42,0.2394,422.2742,-6042.51,7941.1,0.5014
10,32,0.2391,421.7339,-4747.51,7930.94,0.5033
2,30,0.2391,421.8477,-6416.77,7933.08,0.4991
2,40,0.2388,421.3,-6482.17,7922.78,0.4993
19,24,0.2386,420.8926,-5421.87,7915.12,0.5035
10,94,0.2383,420.3885,-5348.4,7905.64,0.5016
7,47,0.2383,420.3279,-4991.75,7904.5,0.5033
13,23,0.2381,420.0121,-4928.02,7898.56,0.5024
3,29,0.2375,419.0528,-6946.33,7880.52,0.4988
7,19,0.2373,418.5593,-5150.25,7871.24,0.4984
6,91,0.2373,418.7167,-7651.28,7874.2,0.4991
4,114,0.2372,418.4923,-7204.9,7869.98,0.5024
4,109,0.2372,418.4285,-7275.7,7868.78,0.5014
6,94,0.2371,418.2328,-7067.88,7865.1,0.4986
5,96,0.237,418.0903,-7890.56,7862.42,0.4995
3,36,0.2369,417.9712,-6496.17,7860.18,0.502
4,107,0.2365,417.298,-6871.46,7847.52,0.5012
13,80,0.2365,417.1969,-5770.22,7845.62,0.5016
7,46,0.2359,416.1919,-5167.75,7826.72,0.5024
6,30,0.2359,416.0887,-5490.0,7824.78,0.502
9,82,0.2359,416.1472,-5938.6,7825.88,0.5005
3,97,0.2358,415.9749,-6882.34,7822.64,0.5026
9,92,0.2356,415.6814,-6029.96,7817.12,0.5009
20,23,0.2355,415.4687,-5667.87,7813.12,0.5033
6,93,0.2354,415.2677,-7509.14,7809.34,0.4988
8,85,0.2354,415.2209,-7716.52,7808.46,0.4999
18,21,0.2352,414.9625,-4071.5,7803.6,0.502
6,84,0.2352,414.8668,-6350.18,7801.8,0.5003
8,17,0.2351,414.7817,-5278.89,7800.2,0.4972
2,47,0.235,414.6232,-7002.89,7797.22,0.5009
15,66,0.235,414.5892,-5050.0,7796.58,0.5022
4,96,0.2349,414.3499,-7206.4,7792.08,0.502
3,52,0.2349,414.3797,-6207.4,7792.64,0.5035
8,90,0.2348,414.2829,-6793.16,7790.82,0.5012
4,84,0.2347,413.9926,-5626.62,7785.36,0.5001
12,29,0.2345,413.6692,-5634.67,7779.28,0.5035
8,12,0.2344,413.5182,-5138.25,7776.44,0.4963
9,94,0.2344,413.447,-6031.98,7775.1,0.5012
10,34,0.2343,413.4161,-5056.38,7774.52,0.5041
5,111,0.2341,413.0471,-7710.9,7767.58,0.5018
4,98,0.2341,412.9982,-7130.82,7766.66,0.5026
4,32,0.234,412.7759,-6074.87,7762.48,0.5014
12,74,0.2339,412.6408,-5324.5,7759.94,0.5014
9,81,0.2338,412.3866,-6044.32,7755.16,0.5001
15,25,0.2335,411.99,-4517.55,7747.7,0.5026
4,116,0.2329,410.9211,-7802.28,7727.6,0.5026
13,81,0.2327,410.55,-5770.22,7720.62,0.5014
8,14,0.2327,410.4542,-6136.0,7718.82,0.4957
4,82,0.2324,410.0469,-5622.82,7711.16,0.5001
3,95,0.2324,409.914,-6975.32,7708.66,0.5033
6,83,0.2323,409.7619,-6257.68,7705.8,0.5005
12,70,0.2322,409.6662,-5043.94,7704.0,0.5003
9,93,0.2319,409.194,-6029.96,7695.12,0.5012
4,33,0.2318,408.9143,-6657.49,7689.86,0.5009
9,32,0.2316,408.6463,-4402.93,7684.82,0.5022
13,76,0.2314,408.3144,-5262.76,7678.58,0.5016
4,81,0.2313,408.0262,-5376.82,7673.16,0.4999
4,41,0.2313,408.0496,-6523.6,7673.6,0.5014
1,34,0.2312,407.9199,-5514.29,7671.16,0.4965
12,82,0.2311,407.6965,-5324.88,7666.96,0.5014
6,40,0.2311,407.7476,-4568.5,7667.92,0.5039
4,111,0.2311,407.737,-7233.66,7667.72,0.5018
17,18,0.2308,407.152,-4498.96,7656.72,0.5035
6,41,0.2307,406.9244,-4830.36,7652.44,0.5035
4,110,0.2306,406.8596,-7233.66,7651.22,0.5018
13,24,0.2303,406.2927,-4597.64,7640.56,0.5022
10,89,0.2303,406.3523,-5537.82,7641.68,0.5012
4,108,0.2303,406.2534,-6978.66,7639.82,0.5014
14,26,0.2301,405.9098,-5328.09,7633.36,0.5041
4,83,0.2297,405.2579,-5606.88,7621.1,0.5001
1,29,0.2295,404.8399,-5576.25,7613.24,0.4969
11,30,0.2295,404.9367,-4502.89,7615.06,0.5031
9,95,0.2294,404.7261,-6031.98,7611.1,0.5009
15,26,0.2292,404.3146,-4589.09,7603.36,0.5026
2,33,0.2291,404.2157,-6501.85,7601.5,0.4978
8,89,0.2285,403.1032,-7036.4,7580.58,0.5005
1,30,0.2285,403.0596,-5963.25,7579.76,0.4961
4,22,0.2281,402.3811,-6047.25,7567.0,0.4969
3,96,0.2281,402.3896,-6975.32,7567.16,0.5028
12,75,0.228,402.1705,-5181.35,7563.04,0.5003
15,24,0.2279,402.0493,-5086.0,7560.76,0.5031
5,112,0.2278,401.8461,-7634.54,7556.94,0.5014
4,112,0.2277,401.7015,-7223.66,7554.22,0.502
8,87,0.2274,401.1942,-7853.3,7544.68,0.4995
14,24,0.2272,400.7699,-4602.25,7536.7,0.502
13,27,0.2272,400.8869,-4937.55,7538.9,0.5035
9,96,0.2271,400.6965,-5866.02,7535.32,0.5012
16,22,0.227,400.4806,-4756.09,7531.26,0.5024
3,40,0.2267,399.9339,-5970.14,7520.98,0.5007
4,42,0.2267,399.9595,-6718.81,7521.46,0.5012
7,72,0.2263,399.2565,-5796.5,7508.24,0.5009
11,31,0.2263,399.3043,-5838.81,7509.14,0.5033
6,87,0.2261,398.8609,-7204.68,7500.8,0.4991
12,35,0.2261,398.9289,-5498.75,7502.08,0.5005
7,36,0.2261,398.8385,-5176.49,7500.38,0.5028
11,89,0.226,398.6258,-5532.96,7496.38,0.5014
14,32,0.2259,398.5258,-4830.91,7494.5,0.5009
13,74,0.2259,398.5567,-5075.19,7495.08,0.502
4,77,0.2256,397.9526,-5767.75,7483.72,0.4993
4,100,0.2256,397.9579,-7302.66,7483.82,0.5024
5,45,0.2255,397.8282,-5184.42,7481.38,0.5026
6,39,0.2255,397.7378,-4732.12,7479.68,0.5035
4,113,0.2255,397.842,-7483.24,7481.64,0.502
8,86,0.2255,397.8856,-7504.02,7482.46,0.4991
5,108,0.2253,397.5283,-7908.74,7475.74,0.5012
8,88,0.2251,397.0997,-7711.3,7467.68,0.4997
10,92,0.225,396.8646,-5871.24,7463.26,0.5007
14,22,0.2249,396.7976,-5200.76,7462.0,0.502
4,105,0.2248,396.6126,-6871.46,7458.52,0.5014
5,44,0.2248,396.6243,-5344.56,7458.74,0.5024
6,88,0.2246,396.1648,-7428.88,7450.1,0.4988
4,103,0.2243,395.7235,-7204.68,7441.8,0.5014
18,20,0.2241,395.3842,-4735.0,7435.42,0.5018
8,96,0.224,395.2438,-5819.7,7432.78,0.5007
10,93,0.2239,394.996,-5695.42,7428.12,0.5007
13,32,0.2239,394.9418,-4486.01,7427.1,0.5018
4,104,0.2234,394.1814,-6743.68,7412.8,0.5012
4,92,0.2232,393.7602,-7604.6,7404.88,0.5003
15,65,0.2226,392.6276,-5256.76,7383.58,0.5007
13,73,0.2225,392.6053,-5276.68,7383.16,0.5016
16,20,0.2224,392.366,-4930.1,7378.66,0.5016
12,72,0.2223,392.2203,-5424.54,7375.92,0.5005
7,32,0.2221,391.7417,-5383.0,7366.92,0.5033
3,102,0.222,391.7353,-7107.78,7366.8,0.5018
3,54,0.2219,391.5183,-6158.82,7362.72,0.5031
3,30,0.2218,391.2131,-6783.87,7356.98,0.4991
5,92,0.2216,390.9047,-7897.3,7351.18,0.4995
10,73,0.2216,390.9557,-5940.75,7352.14,0.5003
7,31,0.2215,390.7888,-6073.5,7349.0,0.5026
4,23,0.2214,390.6378,-5923.34,7346.16,0.4988
2,32,0.2214,390.5771,-6249.83,7345.02,0.4982
10,98,0.2213,390.3836,-5733.0,7341.38,0.5012
